"Date","Price","Open","High","Low","Vol.","Change %"
"08-03-2023","148,638","148,753","149,411","148,421","","-0.02%"
"07-03-2023","148,663","151,085","151,520","148,573","","-1.62%"
"06-03-2023","151,106","151,601","151,949","150,921","","-0.27%"
"03-03-2023","151,516","151,155","151,752","150,511","","0.26%"
"02-03-2023","151,116","151,450","151,764","150,951","","-0.11%"
"01-03-2023","151,282","151,077","152,103","150,666","","0.21%"
"28-02-2023","150,965","150,092","151,305","149,223","","0.62%"
"27-02-2023","150,037","150,261","150,563","149,731","","-0.06%"
"24-02-2023","150,125","150,632","151,198","149,924","","-0.17%"
"23-02-2023","150,375","151,353","151,825","150,155","","-0.63%"
"22-02-2023","151,330","152,018","152,941","151,012","","-0.44%"
"21-02-2023","152,003","152,348","152,641","151,477","","-0.16%"
"20-02-2023","152,249","152,514","152,805","152,047","","-0.07%"
"17-02-2023","152,355","151,892","152,599","150,621","","0.39%"
"16-02-2023","151,759","151,950","152,648","151,200","","-0.03%"
"15-02-2023","151,810","153,776","154,216","151,642","","-1.22%"
"14-02-2023","153,680","153,088","154,915","152,854","","0.40%"
"13-02-2023","153,060","153,957","154,398","152,906","","-0.51%"
"10-02-2023","153,839","153,657","154,332","152,964","","0.20%"
"09-02-2023","153,537","155,019","155,977","153,340","","-0.94%"
"08-02-2023","154,989","155,245","155,774","154,343","","-0.11%"
"07-02-2023","155,164","154,621","156,164","154,365","","0.38%"
"06-02-2023","154,571","153,379","155,459","152,986","","0.79%"
"03-02-2023","153,357","156,914","157,744","153,071","","-2.25%"
"02-02-2023","156,885","159,432","160,925","156,830","","-1.53%"
"01-02-2023","159,323","157,685","159,806","157,020","","1.14%"
"31-01-2023","157,527","156,785","157,879","155,534","","0.51%"
"30-01-2023","156,721","157,193","157,982","156,594","","-0.24%"
"27-01-2023","157,097","157,133","157,914","156,386","","0.04%"
"26-01-2023","157,033","158,745","158,902","156,381","","-0.96%"
"25-01-2023","158,558","158,016","158,808","156,654","","0.36%"
"24-01-2023","157,982","157,191","158,306","156,479","","0.45%"
"23-01-2023","157,267","155,992","157,421","155,748","","0.79%"
"20-01-2023","156,030","156,981","157,273","155,770","","-0.58%"
"19-01-2023","156,939","155,123","157,242","154,785","","1.20%"
"18-01-2023","155,076","155,812","156,473","154,683","","-0.45%"
"17-01-2023","155,769","156,668","156,725","155,410","","-0.51%"
"16-01-2023","156,566","156,099","156,783","155,795","","0.31%"
"13-01-2023","156,075","153,671","156,249","153,663","","1.59%"
"12-01-2023","153,629","153,130","154,888","152,684","","0.40%"
"11-01-2023","153,014","153,181","154,097","152,359","","0.07%"
"10-01-2023","152,903","153,798","154,244","152,712","","-0.59%"
"09-01-2023","153,807","153,480","154,902","153,403","","0.21%"
"06-01-2023","153,490","151,347","154,158","151,194","","1.41%"
"05-01-2023","151,349","153,382","153,717","150,709","","-1.28%"
"04-01-2023","153,307","152,365","154,402","151,976","","0.65%"
"03-01-2023","152,313","151,154","153,267","151,012","","0.94%"
"02-01-2023","150,901","150,914","151,251","150,585","","-0.01%"
"30-12-2022","150,909","150,251","151,152","149,831","","0.50%"
"29-12-2022","150,153","149,447","150,803","149,142","","0.60%"
"28-12-2022","149,252","150,235","150,360","148,672","","-0.59%"
"27-12-2022","150,132","148,522","151,995","148,483","","1.05%"
"26-12-2022","148,573","148,904","148,979","148,584","","-0.17%"
"23-12-2022","148,833","148,650","149,352","148,273","","0.26%"
"22-12-2022","148,440","150,373","150,900","148,055","","-1.27%"
"21-12-2022","150,343","150,140","151,249","149,893","","0.18%"
"20-12-2022","150,075","147,809","150,485","147,344","","1.61%"
"19-12-2022","147,692","148,352","148,786","147,445","","-0.37%"
"16-12-2022","148,237","147,426","148,481","146,932","","0.70%"
"15-12-2022","147,208","149,082","149,242","146,363","","-1.21%"
"14-12-2022","149,008","149,217","149,920","148,055","","-0.05%"
"13-12-2022","149,084","147,215","150,464","147,096","","1.31%"
"12-12-2022","147,160","148,138","148,304","146,927","","-0.61%"
"09-12-2022","148,059","147,221","149,015","146,993","","0.61%"
"08-12-2022","147,167","146,846","147,741","146,432","","0.25%"
"07-12-2022","146,805","145,958","147,352","145,869","","0.66%"
"06-12-2022","145,837","144,768","146,805","144,613","","0.72%"
"05-12-2022","144,800","146,418","147,530","144,575","","-1.07%"
"02-12-2022","146,359","146,288","146,637","144,538","","0.08%"
"01-12-2022","146,240","143,966","146,447","143,804","","1.67%"
"30-11-2022","143,831","142,823","144,063","142,116","","0.72%"
"29-11-2022","142,797","142,198","143,682","141,988","","0.48%"
"28-11-2022","142,117","143,405","144,026","142,003","","-0.93%"
"25-11-2022","143,450","143,403","143,716","142,560","","0.16%"
"24-11-2022","143,228","142,829","143,697","142,780","","0.34%"
"23-11-2022","142,739","142,268","143,351","141,438","","0.41%"
"22-11-2022","142,156","142,043","142,891","141,860","","0.15%"
"21-11-2022","141,943","142,945","143,212","141,500","","-0.61%"
"18-11-2022","142,809","143,545","144,406","142,636","","-0.47%"
"17-11-2022","143,485","144,557","144,661","143,408","","-0.71%"
"16-11-2022","144,513","144,257","145,124","143,813","","0.21%"
"15-11-2022","144,206","143,384","144,789","143,018","","0.69%"
"14-11-2022","143,219","142,607","143,826","141,763","","0.49%"
"11-11-2022","142,517","141,571","142,906","140,866","","0.73%"
"10-11-2022","141,488","138,865","141,783","138,574","","1.95%"
"09-11-2022","138,779","139,372","140,137","138,472","","-0.40%"
"08-11-2022","139,344","137,118","139,780","136,080","","1.67%"
"07-11-2022","137,050","137,836","137,959","136,899","","-0.52%"
"04-11-2022","137,767","134,828","137,905","134,626","","2.31%"
"03-11-2022","134,659","135,305","135,844","133,975","","-0.44%"
"02-11-2022","135,252","136,213","138,142","135,231","","-0.68%"
"01-11-2022","136,178","135,208","136,823","135,008","","0.75%"
"31-10-2022","135,166","135,224","135,993","134,883","","-0.06%"
"28-10-2022","135,249","137,033","137,385","134,794","","-1.21%"
"27-10-2022","136,912","136,282","137,422","136,208","","0.45%"
"26-10-2022","136,304","136,381","138,100","136,045","","-0.05%"
"25-10-2022","136,365","136,489","137,215","135,542","","-0.10%"
"24-10-2022","136,499","136,870","137,889","135,826","","-0.17%"
"21-10-2022","136,725","134,850","136,959","133,921","","1.45%"
"20-10-2022","134,772","135,208","136,040","134,426","","-0.32%"
"19-10-2022","135,200","135,978","136,344","134,867","","-0.52%"
"18-10-2022","135,911","135,640","136,398","135,451","","0.26%"
"17-10-2022","135,562","135,419","137,120","135,346","","0.17%"
"14-10-2022","135,332","136,962","137,762","135,066","","-1.15%"
"13-10-2022","136,908","137,496","138,300","135,633","","-0.36%"
"12-10-2022","137,405","137,075","137,970","136,695","","0.33%"
"11-10-2022","136,955","137,458","138,501","136,603","","-0.33%"
"10-10-2022","137,404","140,550","140,843","137,190","","-2.05%"
"07-10-2022","140,280","140,426","141,314","139,439","","-0.04%"
"06-10-2022","140,338","140,142","141,339","139,992","","0.23%"
"05-10-2022","140,021","140,642","140,704","138,771","","-0.37%"
"04-10-2022","140,546","138,539","140,850","138,148","","1.51%"
"03-10-2022","138,457","135,431","138,747","135,356","","2.34%"
"30-09-2022","135,288","135,331","136,614","135,186","","0.04%"
"29-09-2022","135,240","135,167","135,761","134,342","","0.12%"
"28-09-2022","135,076","133,148","135,740","132,246","","1.54%"
"27-09-2022","133,023","132,437","133,889","132,357","","0.55%"
"26-09-2022","132,289","133,697","134,563","132,186","","-0.93%"
"23-09-2022","133,534","135,469","135,908","132,979","","-1.36%"
"22-09-2022","135,372","133,799","136,221","132,416","","1.24%"
"21-09-2022","133,716","132,788","134,997","132,423","","0.73%"
"20-09-2022","132,746","133,576","133,866","132,313","","-0.59%"
"19-09-2022","133,535","133,530","133,906","132,260","","0.05%"
"16-09-2022","133,462","132,949","133,917","132,015","","0.43%"
"15-09-2022","132,891","134,894","134,970","132,511","","-1.41%"
"14-09-2022","134,794","135,480","135,656","134,625","","-0.45%"
"13-09-2022","135,406","136,847","137,142","134,921","","-1.00%"
"12-09-2022","136,775","136,771","137,818","136,382","","0.07%"
"09-09-2022","136,685","136,042","137,713","136,018","","0.45%"
"08-09-2022","136,078","136,857","137,709","135,755","","-0.51%"
"07-09-2022","136,778","135,967","137,097","135,133","","0.65%"
"06-09-2022","135,895","136,501","137,838","135,755","","-0.30%"
"05-09-2022","136,304","136,563","136,969","136,123","","-0.12%"
"02-09-2022","136,461","135,310","136,922","135,092","","0.91%"
"01-09-2022","135,228","136,038","136,178","134,549","","-0.51%"
"31-08-2022","135,921","137,375","137,475","135,845","","-0.99%"
"30-08-2022","137,278","138,918","139,218","137,081","","-1.14%"
"29-08-2022","138,855","138,845","139,479","137,576","","-0.01%"
"26-08-2022","138,867","140,483","140,586","138,548","","-1.09%"
"25-08-2022","140,397","139,760","141,085","139,622","","0.51%"
"24-08-2022","139,680","139,591","140,122","139,071","","0.17%"
"23-08-2022","139,444","138,590","139,967","138,259","","0.60%"
"22-08-2022","138,616","139,633","139,763","137,949","","-0.60%"
"19-08-2022","139,460","140,252","140,432","139,468","","-0.54%"
"18-08-2022","140,216","139,970","141,128","139,747","","0.28%"
"17-08-2022","139,817","140,729","141,410","139,726","","-0.62%"
"16-08-2022","140,688","141,559","141,915","140,521","","-0.57%"
"15-08-2022","141,501","143,497","143,536","140,954","","-1.39%"
"12-08-2022","143,494","142,425","143,600","142,164","","0.79%"
"11-08-2022","142,377","141,793","143,185","141,240","","0.46%"
"10-08-2022","141,721","142,779","143,678","141,391","","-0.69%"
"09-08-2022","142,703","142,421","143,231","141,900","","0.25%"
"08-08-2022","142,343","140,760","142,469","140,554","","1.08%"
"05-08-2022","140,827","141,807","142,106","140,175","","-0.64%"
"04-08-2022","141,735","139,682","142,283","139,485","","1.53%"
"03-08-2022","139,601","138,389","140,373","137,918","","0.93%"
"02-08-2022","138,312","139,958","140,603","138,342","","-1.13%"
"01-08-2022","139,899","140,058","140,415","139,193","","-0.13%"
"29-07-2022","140,075","139,834","140,425","139,104","","0.21%"
"28-07-2022","139,775","138,511","139,957","138,295","","0.96%"
"27-07-2022","138,445","137,163","139,004","136,755","","1.01%"
"26-07-2022","137,066","137,103","137,840","136,736","","0.04%"
"25-07-2022","137,008","137,984","138,453","136,819","","-0.58%"
"22-07-2022","137,810","137,275","138,857","136,838","","0.49%"
"21-07-2022","137,139","135,744","137,441","134,205","","1.08%"
"20-07-2022","135,669","136,705","137,147","135,411","","-0.68%"
"19-07-2022","136,599","136,750","137,419","136,381","","-0.03%"
"18-07-2022","136,638","136,268","137,880","136,105","","0.33%"
"15-07-2022","136,185","136,649","137,208","135,536","","-0.27%"
"14-07-2022","136,555","138,285","138,399","136,046","","-1.18%"
"13-07-2022","138,192","137,127","138,994","136,288","","0.79%"
"12-07-2022","137,106","137,742","138,549","136,914","","-0.40%"
"11-07-2022","137,660","138,191","138,636","137,503","","-0.31%"
"08-07-2022","138,086","137,774","139,122","137,408","","0.31%"
"07-07-2022","137,653","137,476","138,438","137,223","","0.24%"
"06-07-2022","137,323","139,950","140,601","136,891","","-1.77%"
"05-07-2022","139,798","142,780","143,336","139,842","","-2.07%"
"04-07-2022","142,756","143,090","143,348","142,370","","-0.10%"
"01-07-2022","142,900","142,687","143,077","140,984","","0.20%"
"30-06-2022","142,618","143,507","144,358","142,443","","-0.56%"
"29-06-2022","143,419","143,751","144,750","143,088","","-0.13%"
"28-06-2022","143,611","142,973","144,302","142,886","","0.51%"
"27-06-2022","142,877","143,844","144,325","142,762","","0.00%"
"24-06-2022","142,881","142,442","143,507","142,289","","0.35%"
"23-06-2022","142,388","143,680","144,414","142,399","","-0.84%"
"22-06-2022","143,598","143,218","144,752","142,605","","0.33%"
"21-06-2022","143,131","143,258","144,057","142,849","","-0.05%"
"20-06-2022","143,201","143,462","143,913","142,981","","-0.10%"
"17-06-2022","143,339","144,810","144,904","142,942","","-0.98%"
"16-06-2022","144,758","143,350","144,870","141,782","","1.06%"
"15-06-2022","143,238","141,090","143,971","141,004","","1.61%"
"14-06-2022","140,965","142,084","142,956","140,802","","-0.74%"
"13-06-2022","142,015","146,582","146,705","142,065","","-2.84%"
"10-06-2022","146,164","143,795","146,616","142,056","","1.68%"
"09-06-2022","143,743","144,008","144,276","143,177","","-0.14%"
"08-06-2022","143,941","143,863","144,408","143,292","","0.11%"
"07-06-2022","143,779","143,271","144,189","142,838","","0.40%"
"06-06-2022","143,208","143,657","144,246","143,163","","-0.28%"
"03-06-2022","143,605","144,626","145,060","143,356","","-0.64%"
"02-06-2022","144,533","143,218","144,949","143,046","","0.96%"
"01-06-2022","143,164","142,548","143,540","141,723","","0.48%"
"31-05-2022","142,486","143,970","144,321","142,384","","-1.00%"
"30-05-2022","143,925","143,774","144,512","143,442","","0.09%"
"27-05-2022","143,801","143,661","144,520","143,442","","0.14%"
"26-05-2022","143,606","143,705","144,036","142,823","","0.00%"
"25-05-2022","143,606","144,715","144,776","142,953","","-0.64%"
"24-05-2022","144,537","143,740","144,999","143,357","","0.63%"
"23-05-2022","143,636","143,780","144,689","143,248","","-0.06%"
"20-05-2022","143,722","142,602","143,857","142,203","","0.83%"
"19-05-2022","142,539","141,355","143,295","140,661","","0.89%"
"18-05-2022","141,285","140,625","141,838","140,083","","0.55%"
"17-05-2022","140,506","141,970","142,330","140,439","","-0.98%"
"16-05-2022","141,894","140,320","142,219","139,190","","1.16%"
"13-05-2022","140,274","141,075","141,523","139,502","","-0.53%"
"12-05-2022","141,016","143,429","143,956","140,965","","-1.64%"
"11-05-2022","143,361","141,970","143,601","141,463","","1.04%"
"10-05-2022","141,888","143,439","144,373","141,743","","-1.03%"
"09-05-2022","143,361","144,977","145,271","143,192","","-1.06%"
"06-05-2022","144,900","143,617","145,611","142,823","","0.97%"
"05-05-2022","143,514","143,517","145,714","143,300","","0.06%"
"04-05-2022","143,423","142,860","144,154","141,996","","0.46%"
"03-05-2022","142,773","142,499","143,789","141,734","","0.24%"
"02-05-2022","142,429","145,118","145,425","141,874","","-1.85%"
"29-04-2022","145,115","145,241","146,954","144,971","","-0.05%"
"28-04-2022","145,193","144,526","145,468","143,543","","0.51%"
"27-04-2022","144,451","146,103","146,255","144,100","","-1.09%"
"26-04-2022","146,037","145,666","146,424","145,259","","0.33%"
"25-04-2022","145,552","147,681","147,957","144,942","","-1.42%"
"22-04-2022","147,644","148,820","149,374","147,415","","-0.73%"
"21-04-2022","148,737","149,321","149,354","147,559","","-0.32%"
"20-04-2022","149,210","149,085","149,402","148,138","","0.12%"
"19-04-2022","149,027","150,893","151,538","148,536","","-1.23%"
"18-04-2022","150,888","150,591","152,389","150,453","","0.15%"
"15-04-2022","150,668","150,587","150,799","150,512","","0.14%"
"14-04-2022","150,463","150,566","150,831","149,456","","-0.01%"
