"Agre emen t Num
ber",Disb urse ment Date,"Loa n Am ou
nt",Numb er of Orna ments,"Gross Weight of Ornamen
ts( gm)","Au ctio n Dat
e",Auction Place,Branch Address,
"PB50 GOL5 9579
35","14-
Nov- 22","182
49",2,5.5,"15-
Jan
-24",Aurangabad Gl,,
"P05V GOL5 8331
91","29-
Oct- 22","291
044",5,106.12,"15-
Jan
-24",Babra GL,"FF 9 to 13, Opp. Police Station, On Way of SH-25, Babra-365421",
"P05V GOL5 8560
47","01-
Nov- 22","507
06",1,15.79,"15-
Jan
-24",Babra GL,,
"P05V GOL5 8880
14","05-
Nov- 22","106
21",1,3.65,"15-
Jan
-24",Babra GL,,
"P05V GOL5 8839
57","05-
Nov- 22","100
459",3,30.02,"15-
Jan
-24",Babra GL,,
"P05V GOL5 8944
20","07-
Nov- 22","117
949",1,46.02,"15-
Jan
-24",Babra GL,,
"P05V GOL5 8964
60","07-
Nov- 22","255
738",2,80.32,"15-
Jan
-24",Babra GL,,
"P05V GOL5 8935
77","07-
Nov- 22","101
49",1,4.68,"15-
Jan
-24",Babra GL,,
P05V GOL5,"10-
Nov-
22","501
49",2,28.4,"15-
Jan
-24",Babra GL,,
"9250
44",,,,,,,,
"P05V GOL5 9847
06","17-
Nov- 22","914
9",1,4.36,"15-
Jan
-24",Babra GL,,
"P05V GOL6 0168
24","21-
Nov- 22","201
49",3,7.38,"15-
Jan
-24",Babra GL,,
"PAZ1 PFI59 5757
5","14-
Nov- 22","522
2",1,7.4,"15-
Jan
-24",Badarda,"Ground Floor, Shree Ji Darshan, Main Road, Badarda, Rajasthan- 313324",
